unit_id,unit_name,bv2
3688,Ajax Assault Tank A,2042
3689,Ajax Assault Tank B,1706
5740,Ajax Assault Tank C,1883
5741,Ajax Assault Tank D,1507
3690,Ajax Assault Tank Prime,1789
3691,Akuma AKU-1X,1959
3692,Akuma AKU-1XJ,2203
5713,Akuma AKU-2X,2122
22,Akuma AKU-2XC,2134
5714,Akuma AKU-2XK,2170
5622,Alacorn Heavy Tank Mk. I,1080
5623,Alacorn Heavy Tank Mk. II,1017
23,Alacorn Heavy Tank Mk. III,1432
24,Alacorn Heavy Tank Mk. IV,1400
8151,Alacorn Heavy Tank Mk. V,0
25,Alacorn Heavy Tank Mk. VI,1850
26,Alacorn Heavy Tank Mk. VII,2163
27,Albatross ALB-3U,1668
28,Albatross ALB-3Ur,1902
29,Albatross ALB-4U,1907
9510,Albatross ALB-4Ur,1893
9511,Albatross ALB-5U,1885
9509,Albatross ALB-5W,2370
30,Albatross ALB-5W (Dantalion),2296
9507,Albatross ALB-6U,2162
9508,"Albatross C ""Sooty Albatross""",2885
3694,Alfar AL-A1,1447
3693,"Alfar AL-D1 ""Dökkálfar""",0
3695,Alliance Station,0
8441,Alpha Wolf A,3359
8442,Alpha Wolf B,2672
8443,Alpha Wolf C,2535
8440,Alpha Wolf Prime,2966
8239,Amarok,3185
8240,Amarok 2,3351
8241,Amarok 3,2675
6428,Amazon Battle Armor [MRR] (Sqd4),328
8743,Amazon Battle Armor [MRR] (Sqd5),441
9106,Amazon Battle Armor [MRR] (Sqd6),566
6429,Amazon Battle Armor [PPC] (Sqd4),288
8744,Amazon Battle Armor [PPC] (Sqd5),388
9107,Amazon Battle Armor [PPC] (Sqd6),498
3696,Ammon,2202
5753,Ammon 2,2628
3697,Ammon XR,2549
3698,Anastaska Maro Freighter,0
6245,Anat APC,308
3699,Andryusha-class Bombardment Frigate,0
31,Angerona Scout Suit (Recon) (Sqd4),170
8479,Angerona Scout Suit (Recon) (Sqd5),229
8844,Angerona Scout Suit (Recon) (Sqd6),295
32,Angerona Scout Suit (Sqd4),238
8480,Angerona Scout Suit (Sqd5),320
8845,Angerona Scout Suit (Sqd6),411
33,Anhur (P-Stealth),1035
35,Anhur Transport,720
34,Anhur Transport (BA),637
3700,Annihilator ANH-1A,1434
36,Annihilator ANH-1E,1625
37,Annihilator ANH-1G,2274
38,Annihilator ANH-1X,1926
39,Annihilator ANH-2A,1595
40,Annihilator ANH-2AX,2553
41,Annihilator ANH-3A,1712
42,Annihilator ANH-4A,1726
8386,Annihilator ANH-5W,2595
43,Annihilator C,2520
44,"Annihilator C ""Gausszilla""",2455
45,Annihilator C 2,2722
3701,Antares Series AS-17 C3ISR Satellite,0
5463,Anti-'Mech Jump Infantry,158
46,Anti-Infantry Unit,168
6338,Antlion LK-3D,859
3702,Anubis ABS-3L,951
5562,Anubis ABS-3MC,1074
3703,Anubis ABS-3R,970
3704,Anubis ABS-3T,1150
5656,Anubis ABS-4C,833
6453,Anubis ABS-5Y,1042
6454,Anubis ABS-5Z,1066
48,Anvil ANV-3M,1441
49,Anvil ANV-3R,1496
50,Anvil ANV-5M,1687
51,Anvil ANV-5Q,1336
52,Anvil ANV-6M,1366
53,Anvil ANV-8M,1690
6510,Anzu ZU-G60,1486
6511,Anzu ZU-J70,1680
3705,Apocalypse World Rover,0
54,Apollo APL-1M,1207
55,Apollo APL-1R,1148
56,Apollo APL-2S,1283
57,Apollo APL-3T,1240
3706,Apollo APL-4M,1302
7414,Apostle Self-Propelled Artillery,387
3708,Apple-Churchill Surveillance VTOL,0
3707,Apple-Churchill Surveillance VTOL (Personnel),0
58,Aquagladius AQS-3,834
59,Aquagladius AQS-4,1486
8108,Aquagladius AQS-5 MAM,1946
3709,Aquarius Escort,2263
3710,Aquarius Escort M1,2568
3711,Aquarius Escort W1,2698
3712,Aqueduct Liquid Carrier,0
6518,Aquila AQA-1M,1489
3713,Aquilla Transport JumpShip,957
5798,Araña ARA-S-1 MilitiaMech,1092
62,Arbalest,1029
60,Arbalest 2,1098
61,Arbalest 3,921
3714,Arbiter ARB-001 SecurityMech,507
3715,Arbiter ARB-001r SecurityMech,0
3716,Arcadia (3066),10965
5762,Arcadia (3080),13403
3717,Arcas,2484
3718,Arcas 2,2835
5686,Arcas 3,2305
64,Archangel C-ANG-O (Berith),2060
65,Archangel C-ANG-O Invictus,2237
66,Archangel C-ANG-OA Dominus,2134
67,Archangel C-ANG-OB Infernus,2069
68,Archangel C-ANG-OC Comminus,2014
69,Archangel C-ANG-OD Luminos,2105
70,Archangel C-ANG-OE Eminus,2097
71,Archangel C-ANG-OS Caelestis,2026
72,Archer (Wolf),2365
3721,Archer ARC-1A,1269
73,Archer ARC-2K,1356
74,Archer ARC-2R,1477
8274,Archer ARC-2R (Ismail),0
3722,Archer ARC-2R (Rubinsky),1411
75,Archer ARC-2Rb,1705
76,Archer ARC-2S,1393
77,Archer ARC-2W,1338
78,Archer ARC-4M,1705
8275,Archer ARC-4M (Ismail),0
7730,Archer ARC-4M2,1742
7598,Archer ARC-5CS,1609
79,Archer ARC-5R,1674
80,Archer ARC-5S,1353
81,Archer ARC-5W,1337
82,Archer ARC-6S,1694
83,Archer ARC-6W,1405
7731,Archer ARC-7C,2408
84,Archer ARC-7L,1881
85,Archer ARC-7S,1658
86,Archer ARC-8M,1759
87,Archer ARC-9K,1391
6875,Archer ARC-9KC,1361
88,Archer ARC-9M,1811
7732,Archer ARC-9R,1668
89,Archer ARC-9W,1774
5523,Archer Artillery Bunker,0
90,Archer C,1811
8387,Archer C 2,2167
91,Arctic Fox AF1,983
92,Arctic Fox AF1A,858
93,Arctic Fox AF1B,735
94,Arctic Fox AF1C,948
95,Arctic Fox AF1D,744
96,Arctic Fox AF1E,1094
97,Arctic Fox AF1F,891
98,Arctic Fox AF1U,821
99,Arctic Wolf,1330
100,Arctic Wolf 2,1511
101,Arctic Wolf A,1587
8155,Arctic Wolf II (Lana),0
104,Arctic Wolf II A,1645
105,Arctic Wolf II B,1678
106,Arctic Wolf II C,1913
107,Arctic Wolf II Prime,2111
102,Arctic Wolf J,1786
103,Arctic Wolf Prime,1641
6685,Ares ARS-V1 Zeus,3247
6686,Ares ARS-V1A Hera,2944
6687,Ares ARS-V1B Hades,2839
6688,Ares ARS-V1C Aphrodite,2903
6689,Ares ARS-V1D Hephaestus,2960
9500,Ares ARS-V1E Apollo,2986
5805,Ares Assault Craft Mk. III,0
7940,Ares Assault Craft Mk. VI,0
3727,Ares Assault Craft Mk. VII,0
3726,Ares Attack Craft Mk. IX,0
5804,Ares Close Assault Landing Craft Mk. II,0
5592,Ares Landing Craft Mk. I,0
109,Ares Medium Tank,1151
108,Ares Medium Tank (Plasma),1201
7617,Argo,1063
3728,Argo Submersible Carrier,0
3729,Argus AGS-2D,1566
3730,Argus AGS-4D,1638
5683,Argus AGS-5D,2065
5684,Argus AGS-6F,1524
110,Argus AGS-8DX,1598
6252,Arion,849
111,Armored Personnel Carrier (Hover LRM),193
112,Armored Personnel Carrier (Hover MG),114
113,Armored Personnel Carrier (Hover Primitive),41
3731,Armored Personnel Carrier (Hover Sensors),78
114,Armored Personnel Carrier (Hover SRM),131
115,Armored Personnel Carrier (Hover),102
116,Armored Personnel Carrier (Tracked LRM),208
117,Armored Personnel Carrier (Tracked MG),157
118,Armored Personnel Carrier (Tracked Primitive),61
119,Armored Personnel Carrier (Tracked SRM),168
120,Armored Personnel Carrier (Tracked),142
121,Armored Personnel Carrier (Wheeled LRM),194
122,Armored Personnel Carrier (Wheeled MG),172
123,Armored Personnel Carrier (Wheeled Primitive),57
124,Armored Personnel Carrier (Wheeled SRM),176
125,Armored Personnel Carrier (Wheeled),157
6446,Arrow IV Assault Vehicle,1404
3735,Arrow IV Carrier,0
7410,Asher Hover Scout,386
3736,"Ashigaru Freighter ""Ash Barge""",0
5466,Assassin,22
3737,"Assassin ""Servitor""",1019
126,Assassin ASN-101,757
9395,Assassin ASN-109,1158
127,Assassin ASN-21,749
128,Assassin ASN-23,740
129,Assassin ASN-30,925
3738,Assassin ASN-30 (Alice),1507
130,Assassin ASN-99,1116
132,Assault Commando,52
5765,Assault Triumph (3082),7673
133,Asshur Artillery Spotter,930
135,Asshur Fast Reconnaissance Vehicle,952
134,Asshur Fast Reconnaissance Vehicle (Proto AC),333
9223,Assuan Armored Bike,0
3742,Astrolux StarYacht LC-100,0
3743,Asura Medium Battle Armor (Anti-Infantry) (Sqd4),200
8606,Asura Medium Battle Armor (Anti-Infantry) (Sqd5),270
8970,Asura Medium Battle Armor (Anti-Infantry) (Sqd6),347
3745,Asura Medium Battle Armor (Sqd4),297
8608,Asura Medium Battle Armor (Sqd5),400
8972,Asura Medium Battle Armor (Sqd6),514
3744,Asura Medium Battle Armor (SRM) (Sqd4),211
8607,Asura Medium Battle Armor (SRM) (Sqd5),298
8971,Asura Medium Battle Armor (SRM) (Sqd6),383
6993,Athena,107892
137,Athena Combat Vehicle,1855
136,Athena Combat Vehicle (HAG),2444
3747,Athena Combat Vehicle XR,1427
3748,Atlantia Luxury Yacht,0
5564,Atlas AS7-00 (Jurn),2058
7433,Atlas AS7-A,1787
138,Atlas AS7-C,2163
139,Atlas AS7-CM,2036
140,Atlas AS7-D,1897
141,Atlas AS7-D (Danielle),1976
142,Atlas AS7-D-DC,1858
143,Atlas AS7-Dr,2101
144,Atlas AS7-K,2175
3749,Atlas AS7-K-DC,2158
145,Atlas AS7-K2,2160
5541,Atlas AS7-K2 (Jedra),1971
146,Atlas AS7-K3,2346
6832,Atlas AS7-K4,2153
147,Atlas AS7-RS,1849
148,Atlas AS7-S,1929
8291,Atlas AS7-S (Hanssen),0
149,Atlas AS7-S2,2378
5461,Atlas AS7-S3,2378
8437,Atlas AS7-S3-DC,2276
8436,Atlas AS7-S4,2568
150,Atlas AS7-WGS (Samsonov),1884
151,Atlas AS8-D,2432
8435,Atlas AS8-K,2668
8434,Atlas AS8-KE,2658
8433,Atlas AS8-S,2789
3750,Atlas C,2340
8431,Atlas C 2,2736
8432,Atlas C 3,2606
152,Atlas II AS7-D-H,2169
7398,Atlas II AS7-D-H (Devlin),2491
7310,Atlas II AS7-D-H (Kerensky),2777
153,Atlas II AS7-D-H2,2340
7618,Atlas II AS7-D-HT,2205
8459,Atlas II AS7-DK-H,2599
6359,Atlas III AS7-D2,2890
6358,Atlas III AS7-D3,2564
8148,Atlaua Costal Cutter,0
3751,Atreus Battleship,0
154,Augustus MBT A3,676
3756,Aurora,3262
3752,Aurora (Armor Carrier),3262
3753,Aurora (Cargo),3262
7336,Aurora (Combined Arms),3262
3754,Aurora (CV),3262
3755,Aurora (GunShip),7319
7337,Aurora (Tanker),3262
7338,Aurora (Vehicle),3262
8302,Auxiliary Defense Tank ADT-1,192
8303,Auxiliary Defense Tank ADT-2,0
6396,Avalanche AVL-1O,1540
6397,Avalanche AVL-1OA,1484
6398,Avalanche AVL-1OB,1529
6399,Avalanche AVL-1OC,1341
6400,Avalanche AVL-1ON,1873
6401,Avalanche AVL-1OR,2043
3758,Avalonmax-class Freighter,0
155,Avar A,2151
156,Avar B,2142
157,Avar C,1747
158,Avar D,1765
3762,Avar E,1438
159,Avar Prime,2068
160,Avatar AV1-O,1395
161,Avatar AV1-OA,1481
162,Avatar AV1-OB,1496
7634,Avatar AV1-OBLO,1550
163,Avatar AV1-OC,1406
164,Avatar AV1-OD,1475
165,Avatar AV1-OE,1563
166,Avatar AV1-OF,1667
167,Avatar AV1-OG,1775
168,Avatar AV1-OH,1604
169,Avatar AV1-OI,1606
6874,Avatar AV1-OJ,2223
170,Avatar AV1-OR,1833
171,Avatar AV1-OU,1359
3764,Avatar Heavy Cruiser,0
3765,Avenger (2816),0
3766,Avenger (3048),0
7423,Awesome (Jeff X. Mink),2166
172,Awesome AWS-10KM,1961
7397,Awesome AWS-10KM (Cameron),2466
7501,Awesome AWS-11H,2036
173,Awesome AWS-11M,1801
7349,Awesome AWS-11R,1878
7977,Awesome AWS-11V,1855
174,Awesome AWS-8Q,1605
3767,Awesome AWS-8Q (Barton),0
7311,Awesome AWS-8Q (Buck),1787
3768,Awesome AWS-8Q (Smith),2166
175,Awesome AWS-8R,1470
176,Awesome AWS-8T,1593
177,Awesome AWS-8V,1510
178,Awesome AWS-9M,1812
5594,Awesome AWS-9Ma,1836
179,Awesome AWS-9Q,1875
3770,Awesome AWS-9Q (Klatt),1805
8470,Awesome C,2737
182,Axel Heavy Tank IIC,1612
183,Axel Heavy Tank IIC (XL),2003
180,Axel Heavy Tank Mk 1,931
181,Axel Heavy Tank Mk 2,902
184,Axman AXM-1N,1374
185,Axman AXM-2N,1458
186,Axman AXM-3S,1649
187,Axman AXM-3Sr,1734
188,Axman AXM-4D,1222
7790,Axman AXM-5N,2575
3771,Axman AXM-6T,1830
3772,Axman AXM-6X,2132
189,Baboon (Howler),645
190,Baboon (Howler) 2,757
191,"Baboon (Howler) 3 ""Devil""",1277
7568,Baboon (Howler) 4,506
7569,Baboon (Howler) 5,1363
7570,Baboon (Howler) 6,550
5516,Backstab Bunker,0
192,Badger (C) Tracked Transport A,492
193,Badger (C) Tracked Transport B,540
194,Badger (C) Tracked Transport C,537
195,Badger (C) Tracked Transport D,506
196,Badger (C) Tracked Transport E,474
197,Badger (C) Tracked Transport F,441
198,Badger (C) Tracked Transport H,516
199,Badger (C) Tracked Transport Prime,602
3774,"Badger Tracked Transport ""Booze Cruiser""",0
200,Badger Tracked Transport A,437
201,Badger Tracked Transport B,431
202,Badger Tracked Transport C,450
203,Badger Tracked Transport D,540
204,Badger Tracked Transport E,434
205,Badger Tracked Transport F,399
206,Badger Tracked Transport G,474
207,Badger Tracked Transport Prime,549
3777,Bailey Armored Car,0
6975,Bakeneko BKN-1K,2022
210,Balac Strike VTOL,1271
6750,Balac Strike VTOL (Hybrid),797
208,Balac Strike VTOL (LRM),1278
209,Balac Strike VTOL (Spotter),934
3778,Baleena Passenger Submarine,0
8135,Baleena Passenger Submarine IIC,0
211,Balius A,2201
212,Balius B,2029
213,Balius C,2103
214,Balius D,2417
6883,Balius E,2156
215,Balius Prime,2157
216,Balius U,2014
6330,Ballista Artillery Trailer,1461
6775,Ballista Self-Propelled Artillery Tank,531
217,Bandersnatch BNDR-01A,1478
3780,Bandersnatch BNDR-01A (Horus),1587
218,Bandersnatch BNDR-01Ar,1522
219,Bandersnatch BNDR-01B,1630
220,Bandit (C) Hovercraft A,1145
221,Bandit (C) Hovercraft B,1162
222,Bandit (C) Hovercraft C,1231
223,Bandit (C) Hovercraft D,1093
224,Bandit (C) Hovercraft E,1063
225,Bandit (C) Hovercraft F,1119
226,Bandit (C) Hovercraft G,915
227,Bandit (C) Hovercraft H,1209
228,Bandit (C) Hovercraft Prime,1054
229,"Bandit Hovercraft ""Warthog""",872
230,Bandit Hovercraft A,902
231,Bandit Hovercraft B,753
232,Bandit Hovercraft C,792
233,Bandit Hovercraft D,827
234,Bandit Hovercraft E,839
235,Bandit Hovercraft F,887
236,Bandit Hovercraft G,837
237,Bandit Hovercraft H,708
238,Bandit Hovercraft I,914
3783,Bandit Hovercraft Mk. II,770
239,Bandit Hovercraft Prime,929
7424,Banshee (John Bauer),1853
5855,Banshee Aerospace Fighter BSE-X2,0
3784,Banshee BNC-11X,2030
8246,Banshee BNC-12S,2562
3785,Banshee BNC-1E,1458
240,Banshee BNC-3E,1422
8281,Banshee BNC-3E (El Guapo),0
241,Banshee BNC-3M,1595
242,Banshee BNC-3MC,1487
243,Banshee BNC-3Mr,1801
244,Banshee BNC-3Q,1394
245,Banshee BNC-3S,1751
246,Banshee BNC-3S (Reinesblatt),1678
247,Banshee BNC-5S,2065
3786,Banshee BNC-5S (Sawyer),2094
3787,Banshee BNC-5S (Vandergriff),1853
248,Banshee BNC-6S,1889
249,Banshee BNC-7S,2126
250,Banshee BNC-8S,2408
3788,Banshee BNC-9S,2496
6844,Banshee BNC-9S2,2426
251,Banzai BNZ-X,2647
6496,Bardiche Heavy Strike Tank,1305
6497,Bardiche Heavy Strike Tank (Minesweeper),1198
8049,Bardiche Heavy Strike Tank C,1291
252,Barghest BGS-1T,1787
253,Barghest BGS-2T,1794
254,Barghest BGS-3T,1900
3790,Barghest BGS-4T,1734
3791,Barghest BGS-4X,1667
255,Barghest BGS-7S,1526
3792,Baron Destroyer,27692
3832,Baronet Passenger VTOL,0
3793,Barouche Military Transport,424
256,Bashkir A,763
257,Bashkir B,697
258,Bashkir C,1069
259,Bashkir D,1009
3795,Bashkir E,877
260,Bashkir Prime,1108
5833,Bashkir Z,1151
3797,Basilisk,319
3796,Basilisk (Quad),258
5835,Basilisk (Quad) B,218
3798,Basilisk 2,237
3799,Basilisk 3,306
3800,Bastion System Defense Station,0
261,Battle Cobra A,1466
262,Battle Cobra B,1892
263,Battle Cobra BTL-C-2O,944
264,Battle Cobra BTL-C-2OA,1113
265,Battle Cobra BTL-C-2OB,895
266,Battle Cobra BTL-C-2OC,726
267,Battle Cobra BTL-C-2OD,1221
268,Battle Cobra BTL-C-2OE,840
269,Battle Cobra BTL-C-2OF,1300
9492,Battle Cobra BTL-C-2OG,1217
9493,Battle Cobra BTL-C-2OH,1305
9494,Battle Cobra BTL-C-2OI,1019
9495,Battle Cobra BTL-C-2OJ,1269
270,Battle Cobra C,1484
271,Battle Cobra F,1507
8390,Battle Cobra G,1593
272,Battle Cobra H,1592
8391,Battle Cobra I,1385
8392,Battle Cobra J,1272
273,Battle Cobra Prime,1487
8389,Battle Cobra T,1666
274,Battle Cobra X,1492
275,Battle Hawk BH-K305,771
276,Battle Hawk BH-K306,926
3802,Battle Taxi NL-42,0
5610,Battle Taxi NL-43,0
5584,BattleAxe BKX-1X,1079
277,BattleAxe BKX-7K,1329
278,BattleAxe BKX-7NC,1252
279,BattleAxe BKX-8D,1592
280,BattleMaster BLR-10S,1927
281,BattleMaster BLR-10S2,1927
282,BattleMaster BLR-1D,1522
283,BattleMaster BLR-1G,1519
284,BattleMaster BLR-1G (Red Corsair),2745
288,BattleMaster BLR-1G-DC,1494
285,BattleMaster BLR-1Gb,1825
286,BattleMaster BLR-1Gbc,1825
287,BattleMaster BLR-1Gc,1577
5867,BattleMaster BLR-1Gd,0
5877,"BattleMaster BLR-1GHE ""HellSlinger""",0
289,BattleMaster BLR-1S,1507
290,BattleMaster BLR-2C,1563
291,BattleMaster BLR-3M,1679
3805,BattleMaster BLR-3M (Rogers),1818
3806,BattleMaster BLR-3M-DC,1627
292,BattleMaster BLR-3S,1441
293,BattleMaster BLR-4L,1890
294,BattleMaster BLR-4S,2018
295,BattleMaster BLR-4S (Calvin II),2274
296,BattleMaster BLR-4S (Calvin),2029
297,BattleMaster BLR-5M,1766
7476,BattleMaster BLR-6C,1557
7475,BattleMaster BLR-6G,1960
7978,BattleMaster BLR-6M,1958
9404,BattleMaster BLR-6R,2181
298,BattleMaster BLR-6X,1966
299,BattleMaster BLR-CM,1883
300,BattleMaster BLR-K3,1851
301,BattleMaster BLR-K4,2232
302,BattleMaster BLR-M3,1674
303,BattleMaster C,3025
7979,BattleMaster C 2,2538
7477,BattleMaster C 3,2532
7835,BattleMech Landing Craft,2437
304,BattleMech Recovery Vehicle,90
305,Batu A,1975
306,Batu B,2651
307,Batu C,2109
308,Batu D,2435
6963,Batu E,1602
309,Batu Prime,2495
3809,Batu Z,3143
3810,Bayamo Hoverbike,0
312,Beagle Hover Scout,335
310,Beagle Hover Scout (C3i),266
7330,Beagle Hover Scout (LRRP),219
311,Beagle Hover Scout (Sealed),249
313,Beagle Hover Scout (TAG),295
314,Bear Cub,1052
315,Bear Cub 2,988
316,Bear Cub 3,1086
317,Beast Mounted Infantry,79
9224,Beast Riot Car,0
3812,Behemoth,0
3811,Behemoth (2658),0
318,Behemoth (Stone Rhino),3001
319,Behemoth (Stone Rhino) 2,3107
320,Behemoth (Stone Rhino) 3,3072
3814,Behemoth (Stone Rhino) 4,2601
3815,Behemoth (Stone Rhino) 5,2157
3816,Behemoth (Stone Rhino) 6,2981
7448,Behemoth (Stone Rhino) 7,2916
7449,Behemoth (Stone Rhino) 8,2804
8301,Behemoth BHN-6H,1703
324,Behemoth Heavy Tank,1173
321,Behemoth Heavy Tank (Armor),1406
9457,Behemoth Heavy Tank (Davion),1662
322,Behemoth Heavy Tank (Flamer),1130
9458,Behemoth Heavy Tank (Kurita Upgrade),1789
323,Behemoth Heavy Tank (Kurita),1336
9459,Behemoth Heavy Tank (Liao),1324
9460,Behemoth Heavy Tank (Refit),1246
6447,Behemoth II Heavy Tank,1903
6448,Behemoth II Heavy Tank (Support),1781
3817,Bellerophon BEL-1X,957
326,Bellona Hover Tank,1018
325,Bellona Hover Tank (Laser),1262
8036,Bellona Hover Tank (XL),1603
327,Beowulf BEO-12,1319
328,Beowulf BEO-14,1287
5548,Beowulf BEO-X-7A,1473
3818,Beowulf IIC,2048
7294,Beowulf IIC PR,1992
329,Berserker BRZ-A3,2117
330,Berserker BRZ-B3,2020
331,Berserker BRZ-C3,2354
6831,Berserker BRZ-D4,2659
332,Bishamon BSN-3K,1374
333,Bishamon BSN-4K,1105
334,Bishamon BSN-5KC,1443
6545,Bishop Transport VTOL,199
5593,Black Eagle,0
3821,Black Hawk (Nova) (Phelan 2),0
3822,Black Hawk (Nova) (Phelan),0
335,Black Hawk (Nova) A,2422
336,Black Hawk (Nova) B,1543
337,Black Hawk (Nova) C,1515
338,Black Hawk (Nova) D,1450
339,Black Hawk (Nova) E,2078
340,Black Hawk (Nova) F,1976
8165,Black Hawk (Nova) G,1822
341,Black Hawk (Nova) H,1832
6909,Black Hawk (Nova) I,2224
8166,Black Hawk (Nova) J,2295
8167,Black Hawk (Nova) K,1932
8168,Black Hawk (Nova) L,2177
342,Black Hawk (Nova) Prime,2663
8169,Black Hawk (Nova) R,1597
343,Black Hawk (Nova) S,2056
8164,Black Hawk (Nova) T,1579
344,Black Hawk (Nova) U,1413
6910,Black Hawk (Nova) X,2761
6554,Black Hawk (Standard),2183
6555,Black Hawk (Standard) 2,2161
6556,Black Hawk (Standard) 3,2317
345,Black Hawk-KU BHKU-O,1731
346,Black Hawk-KU BHKU-O (Albert),2377
347,Black Hawk-KU BHKU-OA,1770
348,Black Hawk-KU BHKU-OB,1303
349,Black Hawk-KU BHKU-OC,1597
350,Black Hawk-KU BHKU-OD,1539
351,Black Hawk-KU BHKU-OE,1982
352,Black Hawk-KU BHKU-OF,1759
6890,Black Hawk-KU BHKU-OG,1719
3825,Black Hawk-KU BHKU-OR,2193
353,Black Hawk-KU BHKU-OU,1687
354,Black Hawk-KU BHKU-OX,1941
355,Black Knight BL-10-KNT (Ross),2103
356,Black Knight BL-12-KNT,1840
7791,Black Knight BL-18-KNT,2585
358,Black Knight BL-6-KNT,1551
359,Black Knight BL-6-KNT (Ian),1830
3826,Black Knight BL-6-RR,1954
357,Black Knight BL-6b-KNT,1627
360,Black Knight BL-7-KNT,1443
361,Black Knight BL-7-KNT-L,1409
362,Black Knight BL-9-KNT,1678
5783,Black Knight BL-X-KNT “Red Reaper”,1858
6347,Black Knight BLK-NT-2Y,1847
6348,Black Knight BLK-NT-3A,1707
6349,Black Knight BLK-NT-3B,1911
6350,Black Knight BLK-NT-4D,2280
6351,Black Knight BLK-NT-5H,2423
363,Black Lanner A,2308
364,Black Lanner B,1961
365,Black Lanner C,2523
366,Black Lanner D,1809
367,Black Lanner E,2331
8185,Black Lanner F,2154
8186,Black Lanner G,1929
368,Black Lanner H,1928
8187,Black Lanner I,1803
8188,Black Lanner J,2022
369,Black Lanner Prime,2268
8184,Black Lanner T,2040
370,Black Lanner X,1672
3828,Black Lion Battlecruiser (2691),227332
6983,Black Lion Battlecruiser (Block I),119805
3829,Black Lion Battlecruiser (Clan),0
371,Black Watch BKW-7R,1998
372,Black Watch BKW-9R,2144
6239,Black Wolf Battle Armor [ERSPL] (Sqd4),348
8727,Black Wolf Battle Armor [ERSPL] (Sqd5),468
