unit_id,unit_name,type,tonnage,Age of War / Star League,Early Succession War,Late Succession War - LosTech,Late Succession War - Renaissance,Clan Invasion,Civil War,Jihad,Early Republic,Dark Age,ilClan
8476,Achileus Light Battle Armor [MG] (Sqd5),Infantry,0.75,,,,,BA: Other Squad Size in Use,BA: Other Squad Size in Use,Escorpión Imperio,Escorpión Imperio,Escorpión Imperio; Scorpion Empire,Scorpion Empire
8841,Achileus Light Battle Armor [MG] (Sqd6),Infantry,0.75,,,,,Word of Blake,Word of Blake,Word of Blake,BA: Other Squad Size in Use,BA: Other Squad Size in Use,BA: Other Squad Size in Use
11,Achileus Light Battle Armor [TAG] (Sqd4),Infantry,0.75,,,,,Free Worlds League,Free Worlds League,Capellan Confederation; Free Worlds League; Magistracy of Canopus; Mercenary,Capellan Confederation; Free Worlds League (Duchy of Andurien); Free Worlds League (Duchy of Tamarind-Abbey); Free Worlds League (Marik-Stewart Commonwealth); Free Worlds League (Non-Aligned Worlds); Free Worlds League (Oriente Protectorate); Free Worlds League (Regulan Fiefs); Free Worlds League (Rim Commonality); Magistracy of Canopus; Mercenary; Republic of the Sphere,Capellan Confederation; Free Worlds League; Free Worlds League (Duchy of Andurien); Free Worlds League (Duchy of Tamarind-Abbey); Free Worlds League (Marik-Stewart Commonwealth); Free Worlds League (Non-Aligned Worlds); Free Worlds League (Oriente Protectorate); Free Worlds League (Regulan Fiefs); Free Worlds League (Rim Commonality); Magistracy of Canopus; Republic of the Sphere,Capellan Confederation; Free Worlds League; Free Worlds League (Duchy of Andurien); Magistracy of Canopus
8477,Achileus Light Battle Armor [TAG] (Sqd5),Infantry,0.75,,,,,BA: Other Squad Size in Use,BA: Other Squad Size in Use,BA: Other Squad Size in Use,BA: Other Squad Size in Use,BA: Other Squad Size in Use,BA: Other Squad Size in Use
8842,Achileus Light Battle Armor [TAG] (Sqd6),Infantry,0.75,,,,,Word of Blake,Word of Blake,Word of Blake,BA: Other Squad Size in Use,BA: Other Squad Size in Use,BA: Other Squad Size in Use
3667,Achilles (2582),Aerospace,4500,Inner Sphere General; Rim Worlds Republic - Home Guard; Rim Worlds Republic - Terran Corps,ComStar; HW Clan General; Mercenary,ComStar; Kell Hounds; Mercenary; Periphery General; Wolf's Dragoons,ComStar; Kell Hounds; Periphery General; Wolf's Dragoons,Periphery General,,,,,
3668,Achilles (3055),Aerospace,4500,,,,,Capellan Confederation; Free Worlds League,Capellan Confederation; Free Worlds League,,,Free Worlds League (Non-Aligned Worlds); Marian Hegemony,Marian Hegemony; Star League (Clan Jade Falcon)
601,Ad Hoc Clan Foot Infantry  ,Infantry,3,,HW Clan General,HW Clan General,HW Clan General,HW Clan General; IS Clan General,HW Clan General; IS Clan General,HW Clan General; IS Clan General; Society,IS Clan General,IS Clan General,IS Clan General
3669,Adelante Passenger/Cargo Train  ,Advanced Support,600,,,Federated Suns,Federated Suns,,,,,,
3670,Aegis Heavy Cruiser (2372),Advanced Aerospace,750000,Capellan Confederation; Draconis Combine; Federated Suns; Free Worlds League; Lyran Commonwealth; Terran Hegemony,,,,Free Worlds League; Word of Blake,Free Worlds League,,,,
3671,Aegis Heavy Cruiser (2582),Advanced Aerospace,750000,,,,,ComStar; Free Worlds League,ComStar; Free Worlds League,ComStar,,,
3672,Aegis Heavy Cruiser (Clan),Advanced Aerospace,750000,,Clan Blood Spirit; Clan Cloud Cobra; Clan Goliath Scorpion; Clan Jade Falcon; Clan Nova Cat; Clan Sea Fox; Clan Snow Raven; Clan Star Adder,Clan Blood Spirit; Clan Cloud Cobra; Clan Diamond Shark; Clan Goliath Scorpion; Clan Jade Falcon; Clan Nova Cat; Clan Snow Raven; Clan Star Adder,Clan Blood Spirit; Clan Cloud Cobra; Clan Diamond Shark; Clan Goliath Scorpion; Clan Jade Falcon; Clan Nova Cat; Clan Snow Raven; Clan Star Adder,Clan Blood Spirit; Clan Cloud Cobra; Clan Diamond Shark; Clan Goliath Scorpion; Clan Jade Falcon; Clan Nova Cat; Clan Snow Raven; Clan Star Adder; Clan Wolf (in Exile),Clan Blood Spirit; Clan Cloud Cobra; Clan Diamond Shark; Clan Goliath Scorpion; Clan Jade Falcon; Clan Nova Cat; Clan Snow Raven; Clan Star Adder; Clan Wolf (in Exile),Clan Blood Spirit; Clan Cloud Cobra; Clan Diamond Shark; Clan Goliath Scorpion; Clan Jade Falcon; Clan Nova Cat; Clan Snow Raven; Clan Star Adder; Clan Wolf (in Exile),Clan Jade Falcon,,
7388,Aegis Point Defense Suit (Sqd4),Infantry,1,,,,,,,,,Republic of the Sphere,
8829,Aegis Point Defense Suit (Sqd5),Infantry,1,,,,,,,,,BA: Other Squad Size in Use,BA: Other Squad Size in Use
9192,Aegis Point Defense Suit (Sqd6),Infantry,1,,,,,,,,,BA: Other Squad Size in Use,BA: Other Squad Size in Use
12,Aerial Beast Infantry  ,Infantry,7,Free Worlds League,Free Worlds League,Free Worlds League,Free Worlds League,Free Worlds League,Free Worlds League,Free Worlds League,Free Worlds League (Duchy of Andurien); Free Worlds League (Duchy of Tamarind-Abbey); Free Worlds League (Marik-Stewart Commonwealth); Free Worlds League (Non-Aligned Worlds); Free Worlds League (Oriente Protectorate); Free Worlds League (Regulan Fiefs); Free Worlds League (Rim Commonality),Free Worlds League; Free Worlds League (Duchy of Andurien); Free Worlds League (Duchy of Tamarind-Abbey); Free Worlds League (Marik-Stewart Commonwealth); Free Worlds League (Oriente Protectorate); Free Worlds League (Regulan Fiefs); Free Worlds League (Rim Commonality),Free Worlds League; Free Worlds League (Duchy of Andurien)
3673,Aerie PA(L) (Salvage) (Sqd4),Infantry,0.4,,,,,,,BA: Other Squad Size in Use,BA: Other Squad Size in Use,BA: Other Squad Size in Use,BA: Other Squad Size in Use
8600,Aerie PA(L) (Salvage) (Sqd5),Infantry,0.4,,,,,,,Clan Snow Raven,Raven Alliance,Raven Alliance,Raven Alliance
8964,Aerie PA(L) (Salvage) (Sqd6),Infantry,0.4,,,,,,,BA: Other Squad Size in Use,BA: Other Squad Size in Use,BA: Other Squad Size in Use,BA: Other Squad Size in Use
3674,Aerie PA(L) (Sqd4),Infantry,0.4,,,,,,BA: Other Squad Size in Use,BA: Other Squad Size in Use,BA: Other Squad Size in Use,BA: Other Squad Size in Use,BA: Other Squad Size in Use
8601,Aerie PA(L) (Sqd5),Infantry,0.4,,,,,,Clan Snow Raven,Clan Snow Raven,Raven Alliance,Raven Alliance,Raven Alliance
8965,Aerie PA(L) (Sqd6),Infantry,0.4,,,,,,BA: Other Squad Size in Use,BA: Other Squad Size in Use,BA: Other Squad Size in Use,BA: Other Squad Size in Use,BA: Other Squad Size in Use
14,Aeron Strike VTOL,Combat Vehicle,25,,,,,,,,Federated Suns; Free Worlds League (Duchy of Andurien); Republic of the Sphere,Federated Suns; Free Worlds League (Duchy of Andurien); Magistracy of Canopus; Republic of the Sphere,Federated Suns; Free Worlds League (Duchy of Andurien); Magistracy of Canopus
13,Aeron Strike VTOL (BAP),Combat Vehicle,25,,,,,,,,Clan Diamond Shark; Clan Hell's Horses; Fronc Reaches; Inner Sphere General; Magistracy of Canopus; Mercenary,Clan Hell's Horses; Clan Sea Fox; Fronc Reaches; Inner Sphere General; Magistracy of Canopus,Clan Hell's Horses; Clan Protectorate; Clan Sea Fox; Fronc Reaches; Inner Sphere General; Magistracy of Canopus
15,Aeshna Heavy Drone Fighter,Aerospace,100,,,,,,,Word of Blake,Republic of the Sphere,Republic of the Sphere,
3675,Aeshna Heavy Drone Fighter (Original),Aerospace,0,,,,,Word of Blake,Word of Blake,Word of Blake,Extinct,Extinct,
3676,Aesir Assault DropShip  ,Aerospace,18000,,,,,,,Clan Ghost Bear; Clan Nova Cat,Clan Nova Cat,Clan Nova Cat,Clan Protectorate
6249,Aesir Medium AA Vehicle  ,Combat Vehicle,55,,,,,,,,Clan Hell's Horses; Clan Wolf; Mercenary; Republic of the Sphere,Clan Hell's Horses; Clan Wolf; Republic of the Sphere,Clan Hell's Horses; Clan Protectorate; Star League (Clan Wolf); Wolf Empire
6250,Aesir Medium AA Vehicle (HAG),Combat Vehicle,55,,,,,,,,,Clan Hell's Horses; Clan Wolf,Clan Hell's Horses; Star League (Clan Wolf)
3677,Afreet Medium Battle Armor (Hell's Horses) (Sqd4),Infantry,1,,,,,,,BA: Other Squad Size in Use,BA: Other Squad Size in Use,BA: Other Squad Size in Use,BA: Other Squad Size in Use
8602,Afreet Medium Battle Armor (Hell's Horses) (Sqd5),Infantry,1,,,,,,,Clan Hell's Horses,Clan Hell's Horses,Clan Hell's Horses,Clan Hell's Horses
8966,Afreet Medium Battle Armor (Hell's Horses) (Sqd6),Infantry,1,,,,,,,BA: Other Squad Size in Use,BA: Other Squad Size in Use,BA: Other Squad Size in Use,BA: Other Squad Size in Use
16,Afreet Medium Battle Armor (Interdictor) (Sqd4),Infantry,1,,,,,,,BA: Other Squad Size in Use,BA: Other Squad Size in Use,BA: Other Squad Size in Use,BA: Other Squad Size in Use
8478,Afreet Medium Battle Armor (Interdictor) (Sqd5),Infantry,1,,,,,,,Clan Jade Falcon; Escorpión Imperio,Clan Jade Falcon; Escorpión Imperio,Clan Jade Falcon; Escorpión Imperio; Scorpion Empire,Clan Jade Falcon; Scorpion Empire; Star League (Clan Jade Falcon)
8843,Afreet Medium Battle Armor (Interdictor) (Sqd6),Infantry,1,,,,,,,BA: Other Squad Size in Use,BA: Other Squad Size in Use,BA: Other Squad Size in Use,BA: Other Squad Size in Use
3678,Afreet Medium Battle Armor (Jade Falcon) (Sqd4),Infantry,1,,,,,,,BA: Other Squad Size in Use,BA: Other Squad Size in Use,BA: Other Squad Size in Use,BA: Other Squad Size in Use
8603,Afreet Medium Battle Armor (Jade Falcon) (Sqd5),Infantry,1,,,,,,,Clan Jade Falcon,Clan Jade Falcon,Clan Jade Falcon,Clan Jade Falcon; Star League (Clan Jade Falcon)
8967,Afreet Medium Battle Armor (Jade Falcon) (Sqd6),Infantry,1,,,,,,,BA: Other Squad Size in Use,BA: Other Squad Size in Use,BA: Other Squad Size in Use,BA: Other Squad Size in Use
3679,Afreet Medium Battle Armor (Sqd4),Infantry,1,,,,,,BA: Other Squad Size in Use,BA: Other Squad Size in Use,BA: Other Squad Size in Use,BA: Other Squad Size in Use,BA: Other Squad Size in Use
8604,Afreet Medium Battle Armor (Sqd5),Infantry,1,,,,,,Clan Ice Hellion,Clan Hell's Horses; Clan Ice Hellion; Clan Jade Falcon; Clan Stone Lion; Escorpión Imperio,Clan Hell's Horses; Clan Jade Falcon; Escorpión Imperio,Clan Hell's Horses; Clan Jade Falcon; Escorpión Imperio; Scorpion Empire,Clan Hell's Horses; Scorpion Empire; Star League (Clan Jade Falcon)
8968,Afreet Medium Battle Armor (Sqd6),Infantry,1,,,,,,BA: Other Squad Size in Use,BA: Other Squad Size in Use,BA: Other Squad Size in Use,BA: Other Squad Size in Use,BA: Other Squad Size in Use
3680,Agamemnon Heavy Cruiser  ,Advanced Aerospace,820000,,,,,Free Worlds League,Free Worlds League,,,,
6459,Agrotera AGT-1A,BattleMech,50,,,,,,,,,Capellan Confederation; Free Worlds League (Duchy of Andurien); Magistracy of Canopus,Capellan Confederation; Free Worlds League (Duchy of Andurien); Magistracy of Canopus
8365,"Agrotera AGT-UA ""Ariel""",BattleMech,50,,,,,,,,,Solaris 7; Unique,Solaris 7; Unique
17,Ahab AHB-443,Aerospace,90,Inner Sphere General; Mercenary; Rim Worlds Republic - Terran Corps; Star League Regular; Star League Royal; Terran Hegemony,Clan Cloud Cobra; Clan Goliath Scorpion; Clan Jade Falcon; Clan Snow Raven; ComStar; Inner Sphere General; Mercenary; Star League in Exile,ComStar,ComStar,ComStar; Draconis Combine; Free Worlds League; Star League (Second); Word of Blake,Clan Nova Cat; ComStar; Draconis Combine; Free Worlds League; Star League (Second); Word of Blake,Clan Nova Cat; ComStar; Draconis Combine; Escorpión Imperio; Free Worlds League; Word of Blake,Escorpión Imperio,ComStar,
3681,Ahab AHB-443b,Aerospace,90,Star League Regular; Star League Royal,ComStar; HW Clan General; Star League in Exile,ComStar; HW Clan General,ComStar; HW Clan General,ComStar; HW Clan General; IS Clan General; Word of Blake,HW Clan General; IS Clan General; Word of Blake,HW Clan General; IS Clan General; Society; Word of Blake,Extinct,Extinct,
18,Ahab AHB-643,Aerospace,90,,,,,,Word of Blake,Word of Blake,Extinct,Extinct,
19,Ahab AHB-MD,Aerospace,90,,,,,Word of Blake,Word of Blake,Word of Blake,Extinct,Extinct,
20,Ahab AHB-X,Aerospace,90,Rim Worlds Republic - Terran Corps; Star League General,Capellan Confederation; Draconis Combine; Federated Suns; Free Worlds League,Draconis Combine; Free Worlds League,Draconis Combine; Free Worlds League,Draconis Combine; Free Worlds League; Star League (Second),Draconis Combine; Free Worlds League; Star League (Second),Extinct,Extinct,Extinct,
3682,Ahab Whaler  ,Advanced Support,310,,,,,,Free Worlds League,,Calderon Protectorate,Free Worlds League (Non-Aligned Worlds),
5579,Ailette Rescue PA(L) (Sqd4),Infantry,0.4,,,,,,,Calderon Protectorate; Federated Suns; Fronc Reaches; Taurian Concordat,Calderon Protectorate; Federated Suns; Filtvelt Coalition; Fronc Reaches; Magistracy of Canopus; Outworlds Alliance; Pirates; Taurian Concordat,Calderon Protectorate; Escorpión Imperio; Federated Suns; Filtvelt Coalition; Fronc Reaches; Magistracy of Canopus; Pirates; Taurian Concordat,Calderon Protectorate; Federated Suns; Filtvelt Coalition; Fronc Reaches; Magistracy of Canopus; Pirates; Taurian Concordat
8708,Ailette Rescue PA(L) (Sqd5),Infantry,0.4,,,,,,,Taurian Concordat,Escorpión Imperio; Marian Hegemony,Escorpión Imperio; Marian Hegemony; Scorpion Empire,Marian Hegemony; Scorpion Empire
9072,Ailette Rescue PA(L) (Sqd6),Infantry,0.4,,,,,,,BA: Other Squad Size in Use,BA: Other Squad Size in Use,BA: Other Squad Size in Use,BA: Other Squad Size in Use
3683,Ailette Zero-G Engineering Exoskeleton (Sqd4),Infantry,0.4,,,,,Federated Commonwealth; Federated Suns,Federated Commonwealth; Federated Suns,Calderon Protectorate; Federated Suns; Taurian Concordat,Calderon Protectorate; Federated Suns; Taurian Concordat,Calderon Protectorate; Federated Suns; Taurian Concordat,Calderon Protectorate; Federated Suns; Taurian Concordat
8605,Ailette Zero-G Engineering Exoskeleton (Sqd5),Infantry,0.4,,,,,BA: Other Squad Size in Use,BA: Other Squad Size in Use,BA: Other Squad Size in Use,BA: Other Squad Size in Use,BA: Other Squad Size in Use,BA: Other Squad Size in Use
8969,Ailette Zero-G Engineering Exoskeleton (Sqd6),Infantry,0.4,,,,,BA: Other Squad Size in Use,BA: Other Squad Size in Use,BA: Other Squad Size in Use,BA: Other Squad Size in Use,BA: Other Squad Size in Use,BA: Other Squad Size in Use
3684,Air Car  ,Combat Vehicle,40,Insufficient Data,Insufficient Data,HW Clan General; Inner Sphere General; Mercenary; Periphery General; Wolf's Dragoons,HW Clan General; Inner Sphere General; Mercenary; Periphery General; Wolf's Dragoons,HW Clan General; IS Clan General; Inner Sphere General; Kell Hounds; Mercenary; Periphery General; Wolf's Dragoons,HW Clan General; IS Clan General; Inner Sphere General; Kell Hounds; Mercenary; Periphery General; Wolf's Dragoons,HW Clan General; IS Clan General; Inner Sphere General; Kell Hounds; Mercenary; Periphery General; Wolf's Dragoons,IS Clan General; Inner Sphere General; Kell Hounds; Mercenary; Periphery General; Rasalhague Dominion; Raven Alliance; Wolf's Dragoons,IS Clan General; Inner Sphere General; Kell Hounds; Periphery General; Rasalhague Dominion; Raven Alliance; Wolf's Dragoons,IS Clan General; Inner Sphere General; Kell Hounds; Periphery General; Rasalhague Dominion; Raven Alliance; Wolf's Dragoons
5375,AirRescue VTOL  ,Support Vehicle,0,,,Draconis Combine,Draconis Combine,Draconis Combine,Draconis Combine,Draconis Combine,Draconis Combine,Draconis Combine,Draconis Combine
3685,Aithon Assault Transport  ,Combat Vehicle,100,,,,,,,,Clan Hell's Horses,Clan Hell's Horses,Clan Hell's Horses
3686,Aithon Assault Transport 2,Combat Vehicle,100,,,,,,,,Clan Hell's Horses,Clan Hell's Horses,Clan Hell's Horses
21,Ajax Assault Tank (Sealed),Combat Vehicle,90,,,,,,,Federated Suns,Federated Suns; Republic of the Sphere,Federated Suns; Republic of the Sphere,Federated Suns
3688,Ajax Assault Tank A,Combat Vehicle,90,,,,,,Federated Commonwealth; Federated Suns,ComStar; Federated Suns,Federated Suns; Republic of the Sphere,Federated Suns; Republic of the Sphere,Federated Suns
3689,Ajax Assault Tank B,Combat Vehicle,90,,,,,,Federated Commonwealth; Federated Suns,ComStar; Federated Suns,Federated Suns; Republic of the Sphere,Federated Suns; Republic of the Sphere,Federated Suns
5740,Ajax Assault Tank C,Combat Vehicle,90,,,,,,,ComStar; Federated Suns,Federated Suns; Republic of the Sphere,Federated Suns; Republic of the Sphere,Federated Suns
5741,Ajax Assault Tank D,Combat Vehicle,90,,,,,,,ComStar; Federated Suns,Federated Suns; Republic of the Sphere,Federated Suns; Republic of the Sphere,Federated Suns
3690,Ajax Assault Tank Prime,Combat Vehicle,90,,,,,,Federated Commonwealth; Federated Suns,ComStar; Federated Suns,Federated Suns; Republic of the Sphere,Federated Suns; Republic of the Sphere,Federated Suns
3691,Akuma AKU-1X,BattleMech,90,,,,,Draconis Combine,Draconis Combine,Draconis Combine; Word of Blake,Draconis Combine,Draconis Combine,Draconis Combine
3692,Akuma AKU-1XJ,BattleMech,90,,,,,,Clan Nova Cat; Draconis Combine,Clan Nova Cat; Draconis Combine; Word of Blake,Draconis Combine; Republic of the Sphere,Draconis Combine; Republic of the Sphere,Draconis Combine
5713,Akuma AKU-2X,BattleMech,90,,,,,,,Draconis Combine,Draconis Combine,Draconis Combine,Draconis Combine
22,Akuma AKU-2XC,BattleMech,90,,,,,,,Draconis Combine,Draconis Combine; Republic of the Sphere,Draconis Combine; Republic of the Sphere,Draconis Combine
5714,Akuma AKU-2XK,BattleMech,90,,,,,,,,Draconis Combine,Draconis Combine,Draconis Combine
5622,Alacorn Heavy Tank Mk. I,Combat Vehicle,95,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,
5623,Alacorn Heavy Tank Mk. II,Combat Vehicle,95,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,
23,Alacorn Heavy Tank Mk. III,Combat Vehicle,95,Star League Regular,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,
24,Alacorn Heavy Tank Mk. IV,Combat Vehicle,95,Star League Regular,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,
8151,Alacorn Heavy Tank Mk. V,Combat Vehicle,95,Star League Regular; Unique,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,
